MSG_ID,MSG_NAME,SOURCE,DESTINATION,LIFE_TIME,SINGLE_INSTANCE,USED,KEEP_HISTORY,MSG_TABLE_NAME,DESCRIPTION,SEND_TAG
2199201,INT_MS_HEAT_STATUS_CCM,EAF1.TRCKEAF,COM.$BROADCAST,7200,0,1,86400,NULL,heat status for CCM,0
9971200,INT_EAF_HEAT_REPORT_CCM,COM.$BROADCAST,CCM1,7200,0,1,86400,INT_EAF_HEAT_REPORT_CCM,heat report for CCM,0
2299200,INT_EAF_HEAT_REPORT_CCM,EAF2.TRCKEAF,COM.$BROADCAST,7200,0,1,86400,NULL,heat report for CCM,0
2299201,INT_MS_HEAT_STATUS_CCM,EAF2.TRCKEAF,COM.$BROADCAST,7200,0,1,86400,NULL,heat status for CCM,0
6199200,INT_VOD_HEAT_REPORT_CCM,VOD1.TRCKVOD,COM.$BROADCAST,7200,0,1,86400,NULL,heat report for CCM,0
6199201,INT_MS_HEAT_STATUS_CCM,VOD1.TRCKVOD,COM.$BROADCAST,7200,0,1,86400,NULL,heat status for CCM,0
9961200,INT_VOD_HEAT_REPORT_CCM,COM.$BROADCAST,CCM1,7200,0,1,86400,INT_VOD_HEAT_REPORT_CCM,heat report for CCM,0
2299180,TRCK_Report,EAF2.REPSEND,COM.REPSTORE,7200,0,1,86400,NULL,Report Message from Aggr to COM,0
2299101,GUI_CreateSchedule,EAF2,COM.SCHED,7200,0,1,86400,NULL,order create,0
2299102,GUI_ModifySchedule,EAF2,COM.SCHED,7200,0,1,86400,NULL,order modify,0
2299103,GUI_ModifySchedule_Items,EAF2,COM.SCHED,7200,0,1,86400,NULL,order modify items,0
2299104,GUI_DeleteSchedule,EAF2,COM.SCHED,7200,0,1,86400,NULL,order delete,0
2299121,GUI_CreatePremelt,EAF2.TRCKEAF,COM.PREMELT,7200,0,1,86400,NULL,premelt create,0
2299122,GUI_ModifyPremelt,EAF2.TRCKEAF,COM.PREMELT,7200,0,1,86400,NULL,premelt modify,0
2299123,GUI_ModifyPremelt_Items,EAF2.TRCKEAF,COM.PREMELT,7200,0,1,86400,NULL,premelt modify items,0
2299124,GUI_DeletePremelt,EAF2.TRCKEAF,COM.PREMELT,7200,0,1,86400,NULL,premelt delete,0
2299131,GUI_CreateScrap,EAF2.TRCKEAF,COM.SCRAP,7200,0,1,86400,NULL,scrap box create,0
2299132,GUI_ModifyScrap,EAF2.TRCKEAF,COM.SCRAP,7200,0,1,86400,NULL,scrap box modify,0
2299133,GUI_ModifyScrap_Items,EAF2.TRCKEAF,COM.SCRAP,7200,0,1,86400,NULL,scrap box modify items,0
2299134,GUI_DeleteScrap,EAF2.TRCKEAF,COM.SCRAP,7200,0,1,86400,NULL,"scrap box delete ",0
2299161,TRCK_AggrPlantStatus,EAF2.TRCKEAF,COM.PROD,7200,0,1,86400,NULL,plant status from aggr,0
2299162,TRCK_LadleAggrStatus,EAF2.TRCKEAF,COM.LADLE,7200,0,1,86400,NULL,ladle status from aggr,0
9921512,COM_WeighingRequest,COM.PREMELT,EAF1.TRCKEAF,7200,0,1,86400,NULL,broadcast weighing request to aggr,0
9921513,COM_ReladleRequest,COM.LADLE,EAF1.TRCKEAF,7200,0,1,86400,NULL,broadcast reladle request to aggr,0
2299163,TRCK_ReportCOM,EAF2.TRCKEAF,COM.TRCKCOM,7200,0,1,86400,NULL,reports from aggr,0
